Date,tasmax,tasmin,pr,wind,rh,rsds
2020-08-19,31.57,17.55,0.0,293.76,57.28,19.58
2020-08-20,32.32,15.25,0.0,266.112,58.4,23.09
2020-08-21,30.95,18.44,0.0,234.144,62.18,18.74
2020-08-22,33.62,15.38,0.0,236.73600000000005,62.27,21.19
2020-08-23,34.78,17.83,0.0,292.032,53.21,21.41
2020-08-24,35.19,18.1,0.0,311.04,45.1,22.55
2020-08-25,34.03,18.58,0.0,356.832,45.58,21.85
2020-08-26,35.39,16.34,0.0,338.688,46.26,22.67
2020-08-27,35.8,17.97,0.0,304.12800000000004,54.26,22.41
2020-08-28,38.54,17.55,4.83,303.264,54.05,22.23
2020-08-29,24.66,17.28,12.7,184.032,85.97,9.67
2020-08-30,32.8,17.02,0.0,204.76800000000003,75.77,19.99
2020-08-31,25.28,14.7,0.0,294.624,58.61,22.33
2020-09-01,26.03,15.79,0.0,188.35200000000003,83.39,12.47
2020-09-02,31.5,14.02,0.25,132.192,68.23,23.02
2020-09-03,27.74,13.74,0.0,267.84000000000003,55.66,23.3
2020-09-04,32.25,9.66,0.0,144.288,54.52,22.73
2020-09-05,35.19,16.34,0.0,271.29600000000005,56.35,21.62
2020-09-06,38.06,20.01,0.0,311.04,45.65,19.14
2020-09-07,35.73,16.07,0.0,292.896,54.33,19.31
2020-09-08,16.14,2.68,8.64,577.152,87.21,4.27
2020-09-09,5.35,1.86,28.96,389.664,94.26,3.69
2020-09-10,13.04,4.87,1.78,172.8,86.26,8.59
2020-09-11,22.2,9.78,0.25,154.656,76.47,20.63
2020-09-12,29.31,9.52,0.0,177.984,63.79,20.97
2020-09-13,29.17,6.51,0.0,92.44800000000001,62.05,22.02
2020-09-14,27.53,9.32,0.0,114.04800000000002,72.55,18.51
2020-09-15,28.15,10.88,0.0,191.80800000000002,69.49,19.27
2020-09-16,29.1,10.34,0.0,160.704,67.84,18.82
2020-09-17,26.64,8.43,0.0,110.59200000000001,73.83,18.06
2020-09-18,27.26,11.01,0.0,253.15200000000004,69.48,16.71
2020-09-19,28.69,10.07,0.0,381.02400000000006,54.2,17.23
2020-09-20,30.88,14.29,0.0,446.68800000000005,53.49,18.42
2020-09-21,28.69,10.27,0.0,293.76,60.06,18.3
2020-09-22,28.69,9.92,0.0,230.68800000000002,66.38,18.9
2020-09-23,29.1,14.91,0.0,217.728,68.57,18.06
2020-09-24,35.32,10.89,0.0,138.24,47.38,18.79
2020-09-25,37.92,12.79,0.0,211.68000000000004,35.73,19.55
2020-09-26,35.26,12.38,0.0,165.024,36.11,16.81
2020-09-27,21.86,12.51,0.0,471.744,39.54,13.83
2020-09-28,20.49,4.6,0.0,294.624,38.86,19.73
2020-09-29,29.31,1.72,0.0,157.24800000000002,35.39,19.04
2020-09-30,26.99,6.65,0.0,218.59199999999998,40.07,18.16
2020-10-01,20.49,2.68,0.0,165.888,40.22,17.99
2020-10-02,27.4,5.01,0.0,190.08000000000004,39.51,17.45
2020-10-03,23.09,6.44,0.0,241.92,47.97,15.86
2020-10-04,27.16,3.64,0.0,257.47200000000004,44.14,17.92
2020-10-05,29.41,9.62,0.0,209.95200000000003,42.79,16.41
2020-10-06,30.3,5.59,0.0,147.744,44.29,16.91
2020-10-07,33.96,16.74,0.0,211.68000000000004,25.42,14.87
2020-10-08,34.37,10.61,0.0,235.872,43.27,16.89
2020-10-09,33.27,10.82,0.0,187.488,37.8,16.35
2020-10-10,30.47,5.55,0.0,190.08000000000004,46.93,16.16
2020-10-11,34.78,12.1,0.0,419.04,48.78,16.99
2020-10-12,24.11,1.86,0.0,222.91200000000003,33.46,17.12
2020-10-13,24.73,1.31,0.0,208.22400000000002,38.75,16.74
2020-10-14,31.5,7.2,0.0,309.312,34.81,15.37
2020-10-15,11.49,2.95,0.0,193.53600000000003,55.71,4.77
