*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 233    79    1000    8781   38906       0   38906   38827    78.1    8.00   875.3  3881.3    0.00  3881.3  3877.8    3.45
 2020 234    80    1000    8781   38903       0   38903   38826    76.9    8.00   875.3  3881.0    0.00  3881.0  3877.6    3.40
 2020 235    81    1000    8780   38900       0   38900   38824    75.8    8.00   875.3  3880.8    0.00  3880.8  3877.4    3.35
 2020 236    82    1000    8780   38897       0   38897   38822    74.7    8.00   875.2  3880.5    0.00  3880.5  3877.2    3.31
 2020 237    83    1000    8780   38894       0   38894   38820    73.5    8.00   875.2  3880.3    0.00  3880.3  3877.0    3.26
 2020 238    84    1000    8779   38891       0   38891   38818    72.4    8.00   875.2  3880.0    0.00  3880.0  3876.8    3.21
 2020 239    85    1000    8779   38888       0   38888   38816    71.2    8.00   875.1  3879.8    0.00  3879.8  3876.6    3.16
 2020 240    86    1000    8779   38884       0   38884   38814    70.0    8.00   875.1  3879.5    0.00  3879.5  3876.4    3.11
 2020 241    87    1000    8778   38881       0   38881   38812    68.9    8.00   875.0  3879.3    0.00  3879.3  3876.2    3.07
 2020 242    88    1000    8778   38878       0   38878   38810    68.1    8.00   875.0  3879.0    0.00  3879.0  3876.0    3.03
 2020 243    89    1000    8778   38876       0   38876   38808    67.3    8.00   875.0  3878.8    0.00  3878.8  3875.8    3.00
 2020 244    90    1000    8777   38873       0   38873   38807    66.4    8.00   874.9  3878.5    0.00  3878.5  3875.6    2.96
 2020 245    91    1000    8777   38870       0   38870   38805    65.6    8.00   874.9  3878.3    0.00  3878.3  3875.4    2.92
 2020 246    92    1000    8777   38868       0   38868   38803    64.8    8.00   874.9  3878.1    0.00  3878.1  3875.2    2.89
 2020 247    93    1000    8776   38866       0   38866   38801    64.1    8.00   874.8  3877.9    0.00  3877.9  3875.0    2.86
 2020 248    94    1000    8776   38863       0   38863   38800    63.4    8.00   874.8  3877.7    0.00  3877.7  3874.9    2.83
